iter	Logloss
0	0.6324407267
50	0.03981441295
100	0.01560399614
150	0.008943778296
200	0.005833689529
250	0.004259546065
300	0.003250039417
350	0.00265472945
400	0.002139849827
450	0.001798953808
499	0.001538905915
