iter	Passed	Remaining
243	88105	92438
244	88454	92065
245	88800	91688
246	89155	91320
247	89507	90951
248	89849	90571
249	90188	90188
250	90544	89823
251	90900	89457
252	91252	89088
253	91590	88705
254	91943	88337
255	92301	87975
256	92650	87603
257	93003	87235
258	93354	86866
259	93697	86489
260	94031	86105
261	94373	85728
262	94717	85353
263	95056	84974
264	95388	84589
265	95716	84201
266	96058	83826
267	96398	83449
268	96733	83068
269	97059	82680
270	97399	82304
271	97724	81916
272	98066	81542
273	98398	81160
274	98734	80782
275	99070	80404
276	99410	80030
277	99778	79679
278	100131	79315
279	100467	78939
280	100802	78561
281	101149	78193
282	101483	77815
283	101817	77438
284	102142	77055
285	102469	76673
286	102814	76305
287	103148	75928
288	103498	75564
289	103844	75197
290	104204	74840
291	104563	74483
292	104924	74127
293	105284	73770
294	105631	73404
295	105961	73027
296	106354	72693
297	106710	72333
298	107089	71989
299	107430	71620
300	107781	71257
301	108131	70894
302	108458	70516
303	108806	70151
304	109147	69782
305	109497	69419
306	109845	69055
307	110195	68693
308	110546	68331
309	110887	67963
310	111235	67599
311	111580	67234
312	111945	66881
313	112293	66518
314	112630	66148
315	112970	65780
316	113317	65416
317	113657	65049
318	113990	64678
319	114191	64232
320	114539	63870
321	114873	63501
322	115210	63133
323	115542	62763
324	115877	62395
325	116217	62030
326	116558	61665
327	116886	61294
328	117215	60923
329	117551	60556
330	117897	60195
331	118234	59829
332	118439	59397
333	118771	59029
334	119114	58668
335	119458	58307
336	119787	57938
337	119994	57512
338	120329	57147
339	120670	56786
340	120998	56418
341	121328	56052
342	121672	55692
343	122000	55325
344	122347	54967
345	122689	54607
346	123035	54248
347	123384	53892
348	123712	53526
349	124037	53158
350	124380	52799
351	124715	52437
352	125051	52075
353	125396	51717
354	125586	51296
355	125954	50947
356	126300	50591
357	126643	50232
358	126956	49863
359	127289	49501
360	127640	49146
361	127973	48785
362	128312	48426
363	128669	48074
364	129018	47719
365	129369	47364
366	129702	47004
367	130055	46650
368	130370	46283
369	130724	45930
370	131060	45570
371	131414	45217
372	131764	44863
373	132099	44504
374	132461	44153
375	132842	43809
376	133239	43470
377	133611	43123
378	133963	42769
379	134270	42401
380	134619	42046
381	134961	41689
382	135311	41335
383	135651	40978
384	136002	40624
385	136353	40270
386	136690	39912
387	137034	39556
388	137367	39197
389	137709	38841
390	138075	38491
391	138447	38143
392	138781	37785
393	139141	37433
394	139330	37037
395	139672	36681
396	140027	36329
397	140376	35975
398	140754	35629
399	141200	35300
400	141692	34981
401	142148	34653
402	142506	34300
403	142891	33954
404	143528	33667
405	143968	33332
406	144356	32985
407	144726	32634
408	145108	32285
409	145533	31946
410	145880	31589
411	146351	31259
412	146712	30905
413	147056	30547
414	147395	30189
415	147732	29830
416	148086	29475
417	148544	29140
418	149093	28822
419	149492	28474
420	149905	28129
421	150275	27776
422	150822	27454
423	151287	27117
424	151619	26756
425	151940	26393
426	152290	26035
427	152633	25676
428	152968	25316
429	153312	24957
430	153652	24598
431	153974	24236
432	154308	23876
433	154637	23516
434	154963	23155
435	155310	22797
436	155502	22418
437	155834	22058
438	156338	21723
439	156842	21387
440	157329	21048
441	157690	20692
442	158052	20336
443	158443	19983
444	158814	19628
445	159158	19270
446	159542	18916
447	159973	18568
448	160276	18205
449	160718	17857
450	161024	17494
451	161535	17154
452	162019	16810
453	162373	16451
454	162734	16094
455	163197	15747
456	163663	15399
457	164106	15049
458	164627	14705
459	164960	14344
460	165475	13999
461	166062	13658
462	166574	13311
463	166927	12951
464	167309	12593
465	167791	12242
466	168230	11887
467	168528	11523
468	168751	11154
469	169245	10802
470	169516	10437
471	170037	10086
472	170535	9734
473	170949	9376
474	171391	9020
475	171804	8662
476	172372	8311
477	172706	7948
478	173216	7594
479	173800	7241
480	174375	6887
481	174739	6525
482	174966	6158
483	175334	5796
484	175695	5433
485	176051	5071
486	176253	4704
487	176603	4342
488	176813	3977
489	177164	3615
490	177514	3253
491	177857	2891
492	178182	2529
493	178523	2168
494	178854	1806
495	179203	1445
496	179540	1083
497	179885	722
498	180071	360
499	180402	0
